0;80;9;10.7125;6.40553720638;11.5944627936;6.23731444633;15.1876855537;9.7125;4.47518555367
1;249;8;2.75100401606;6.4537576316;9.5462423684;1.33802310995;4.16398492218;1.75100401606;1.41298090611
2;236;9;1.0;7.31030011566;10.6896998843;1.0;1.0;0.0;0.0
3;229;10;1.42358078603;8.2846694018;11.7153305982;0.728313433945;2.11884813811;0.423580786026;0.695267352082
4;228;11;2.75;9.13519987784;12.8648001222;1.02615301052;4.47384698948;1.75;1.72384698948
5;207;11;1.59903381643;8.97397148443;13.0260285156;0.927737210939;2.27033042191;0.599033816425;0.671296605486
6;181;12;1.72928176796;9.69297864903;14.307021351;0.773238700985;2.68532483493;0.729281767956;0.956043066971
7;171;13;1.0;10.6231490131;15.3768509869;1.0;1.0;0.0;0.0
8;166;15;1.79518072289;12.3896424447;17.6103575553;0.49105436215;3.09930708363;0.795180722892;1.30412636074
9;156;15;1.0;12.3396811932;17.6603188068;1.0;1.0;0.0;0.0
10;155;15;2.08387096774;12.3018376325;17.6981623675;0.306664041324;3.86107789416;1.08387096774;1.77720692642
11;141;14;1.9219858156;11.1880670942;16.8119329058;0.410706969398;3.43326466181;0.921985815603;1.5112788462
12;136;15;2.52205882353;12.1542702593;17.8457297407;0.419306512044;4.62481113501;1.52205882353;2.10275231149
13;134;14;1.0;11.0981060932;16.9018939068;1.0;1.0;0.0;0.0
14;126;13;2.59523809524;9.96818627808;16.0318137219;0.749256537596;4.44121965288;1.59523809524;1.84598155764
15;121;14;1.03305785124;10.8881606712;17.1118393288;0.990351741648;1.07576396083;0.0330578512397;0.0427061095921
16;103;14;1.35922330097;10.4972775152;17.5027224848;0.771176522391;1.94727007955;0.359223300971;0.588046778579
17;100;15;1.0;11.381;18.619;1.0;1.0;0.0;0.0
18;96;15;1.0;11.2797593674;18.7202406326;1.0;1.0;0.0;0.0
19;87;16;1.0;12.0171737205;19.9828262795;1.0;1.0;0.0;0.0
20;84;16;1.94047619048;11.9031966222;20.0968033778;0.4026292581;3.47832312285;0.940476190476;1.53784693238
21;80;18;1.625;12.9498232085;23.0501767915;0.603320988309;2.64667901169;0.625;1.02167901169
22;79;16;3.81012658228;11.7999353908;20.2000646092;0.504470839021;7.11578232554;2.81012658228;3.30565574326
23;76;16;1.0;11.7345038312;20.2654961688;1.0;1.0;0.0;0.0
24;70;17;1.74285714286;12.4650479606;21.5349520394;0.529617112431;2.95609717328;0.742857142857;1.21324003043
25;63;17;1.0;12.0955575694;21.9044424306;1.0;1.0;0.0;0.0
26;62;19;1.0;14.0827199854;23.9172800146;1.0;1.0;0.0;0.0
27;59;18;1.0;12.8556820468;23.1443179532;1.0;1.0;0.0;0.0
28;58;18;2.31034482759;12.88852879;23.11147121;0.173490424419;4.44719923075;1.31034482759;2.13685440317
29;56;18;3.66071428571;12.8306676567;23.1693323433;-0.676905437025;7.99833400845;2.66071428571;4.33761972274
30;56;18;1.0;12.8120057464;23.1879942536;1.0;1.0;0.0;0.0
31;53;19;1.0;13.6290366189;24.3709633811;1.0;1.0;0.0;0.0
