1;5;1;0
2;4;1;0
3;1;1;0
4;1;1;0
8;1;4;1
9;1;1;1
10;1;1;1
11;1;1;1
12;1;1;1
13;1;1;1
14;1;1;1
15;1;1;1
16;2;1;2
17;1;1;2
18;1;1;2
19;1;1;2
20;1;1;2
24;2;4;3
25;1;1;3
26;1;1;3
27;1;1;3
28;1;1;3
40;1;12;5
48;1;8;6
49;1;1;6
50;1;1;6
51;4;1;6
52;3;1;6
53;1;1;6
54;1;1;6
55;1;1;6
56;1;1;7
57;1;1;7
58;1;1;7
59;1;1;7
60;2;1;7
61;2;1;7
62;1;1;7
63;2;1;7
64;1;1;8
65;1;1;8
66;1;1;8
67;1;1;8
68;1;1;8
69;1;1;8
70;1;1;8
71;1;1;8
72;1;1;9
73;1;1;9
74;1;1;9
75;1;1;9
76;2;1;9
77;1;1;9
78;1;1;9
79;1;1;9
80;1;1;10
81;1;1;10
82;1;1;10
88;1;6;11
89;1;1;11
90;1;1;11
91;1;1;11
92;1;1;11
93;1;1;11
94;1;1;11
95;1;1;11
96;2;1;12
97;1;1;12
98;1;1;12
99;1;1;12
100;1;1;12
101;4;1;12
102;4;1;12
103;2;1;12
104;2;1;13
105;1;1;13
106;2;1;13
107;1;1;13
112;2;5;14
113;1;1;14
114;1;1;14
115;1;1;14
116;1;1;14
117;1;1;14
118;1;1;14
119;1;1;14
120;1;1;15
121;2;1;15
122;1;1;15
123;1;1;15
124;1;1;15
125;1;1;15
126;1;1;15
127;1;1;15
128;1;1;16
129;1;1;16
136;2;7;17
137;2;1;17
138;1;1;17
139;1;1;17
140;1;1;17
141;1;1;17
142;2;1;17
143;1;1;17
144;1;1;18
145;1;1;18
146;1;1;18
152;1;6;19
153;1;1;19
154;1;1;19
155;1;1;19
156;1;1;19
157;1;1;19
158;1;1;19
159;1;1;19
176;1;17;22
184;1;8;23
185;1;1;23
186;1;1;23
187;1;1;23
188;1;1;23
189;1;1;23
190;1;1;23
191;1;1;23
192;1;1;24
193;1;1;24
194;1;1;24
216;1;22;27
217;1;1;27
218;1;1;27
219;1;1;27
220;1;1;27
221;1;1;27
222;1;1;27
223;1;1;27
224;1;1;28
225;1;1;28
226;1;1;28
227;1;1;28
232;1;5;29
233;1;1;29
234;1;1;29
235;8;1;29
236;1;1;29
240;1;4;30
241;1;1;30
242;1;1;30
243;1;1;30
244;2;1;30
248;1;4;31
249;1;1;31
250;1;1;31
264;2;14;33
265;1;1;33
266;1;1;33
267;1;1;33
268;1;1;33
269;1;1;33
270;1;1;33
271;1;1;33
280;1;9;35
281;1;1;35
282;1;1;35
283;1;1;35
284;1;1;35
285;1;1;35
286;0;1;35
288;1;2;36
289;1;1;36
290;1;1;36
291;1;1;36
292;1;1;36
293;1;1;36
294;1;1;36
295;1;1;36
296;1;1;37
297;1;1;37
298;1;1;37
299;1;1;37
300;2;1;37
301;1;1;37
302;0;1;37
303;1;1;37
304;1;1;38
305;1;1;38
306;1;1;38
307;1;1;38
308;1;1;38
309;1;1;38
310;1;1;38
311;1;1;38
312;1;1;39
313;1;1;39
314;1;1;39
315;1;1;39
316;1;1;39
317;1;1;39
318;1;1;39
319;1;1;39
320;1;1;40
321;1;1;40
322;1;1;40
323;1;1;40
324;1;1;40
325;1;1;40
326;1;1;40
